College Name,Stream,District,Location,State,Fees per Year (\u20B9),Placement %,Rank,Accreditation,Courses Offered (comma-separated)
"Government Arts and Science College, Perumbakkam",Arts and Science,Chennai,"https://www.google.com/maps/place/Government+Arts+and+Science+College,+Perumbakkam/data=!4m7!3m6!1s0x3a525bed2551fb09:0xa204816d3f605281!8m2!3d12.8889186!4d80.2098475!16s%2Fg%2F11fx91vlsp!19sChIJCftRJe1bUjoRgVJgP22BBKI?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
Ramakrishna Mission Vivekananda College (Autonomous),Arts and Science,Chennai,https://www.google.com/maps/place/Ramakrishna+Mission+Vivekananda+College+%28Autonomous%29/data=!4m7!3m6!1s0x3a52662cffffffff:0xe07889fea6f246d4!8m2!3d13.0407546!4d80.2644419!16zL20vMDNmMG50!19sChIJ_____yxmUjoR1Ebypv6JeOA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sri Kanyaka Parameswari Arts and Science College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Sri+Kanyaka+Parameswari+Arts+and+Science+College+for+Women/data=!4m7!3m6!1s0x3a526f37ab3e123d:0xc3331b5cc669a1e9!8m2!3d13.0914887!4d80.2835902!16s%2Fg%2F1tg_7xm2!19sChIJPRI-qzdvUjoR6aFpxlwbM8M?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
ASAN Memorial College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/ASAN+Memorial+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a525c186291ed83:0xa214585c6b18c0ec!8m2!3d12.9254097!4d80.2004828!16s%2Fg%2F11s1xlxvfb!19sChIJg-2RYhhcUjoR7MAYa1xYFKI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRM Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/SRM+Arts+and+Science+College/data=!4m7!3m6!1s0x3a52f70d7459c4e9:0x267b753b21de9672!8m2!3d12.8258366!4d80.0435638!16s%2Fg%2F1tlvmz7f!19sChIJ6cRZdA33UjoRcpbeITt1eyY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Stella Maris College (Autonomous),Arts and Science,Chennai,https://www.google.com/maps/place/Stella+Maris+College+%28Autonomous%29/data=!4m7!3m6!1s0x3a52664811920603:0xf9378292955703ee!8m2!3d13.0463406!4d80.2533559!16zL20vMGY5ODM5!19sChIJAwaSEUhmUjoR7gNXlZKCN_k?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Mahalashmi Women's College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Mahalashmi+Women%27s+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a5262107720a20b:0x68da6a78c1d0cec5!8m2!3d13.0874348!4d80.1113453!16s%2Fg%2F11b6hp9vkz!19sChIJC6IgdxBiUjoRxc7QwXhq2mg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Loyola College,Arts and Science,Chennai,https://www.google.com/maps/place/Loyola+College/data=!4m7!3m6!1s0x3a52678442b9cab3:0xfe3d86401c60ec27!8m2!3d13.0635966!4d80.2340934!16zL20vMDMxdnZo!19sChIJs8q5QoRnUjoRJ-xgHECGPf4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"Sir Theagaraya College,Chennai.",Arts and Science,Chennai,"https://www.google.com/maps/place/Sir+Theagaraya+College,Chennai./data=!4m7!3m6!1s0x3a526f7af840a613:0xe210f88021e5ef0a!8m2!3d13.116629!4d80.2842457!16s%2Fm%2F0j9n7v7!19sChIJE6ZA-HpvUjoRCu_lIYD4EOI?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
Government College of Fine Arts,Arts and Science,Chennai,https://www.google.com/maps/place/Government+College+of+Fine+Arts/data=!4m7!3m6!1s0x3a526607c54cc4f9:0xe0dceaf2fcc4eec!8m2!3d13.0800778!4d80.2661732!16s%2Fm%2F02q5k75!19sChIJ-cRMxQdmUjoR7E7ML6_ODQ4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
