Scholarship Name,Provider,Amount,Eligibility ,Application Link
"NSP Centrally Sponsored Scheme of Pre-Matric Scholarship for ST Students (Class 9 & 10), Goa 2025-26","Department of Science and Technology (DST), Government of India","An annual scholarship of up to ₹5,250 and other grants",ST students of Goa studying in Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-centrally-sponsored-scheme-of-pre-matric-scholarship-for-st-students-class-9-and-10-goa
"Saral Vidya Sahay Scheme for SC and OBC, Goa 2025",Government of Goa,"Up to ₹1,000 per annum",Class 5 to 8 students,https://www.buddy4study.com/scholarship/saral-vidya-sahay-scheme-for-sc-and-obc-goa-2025
"Eklavya Prashikshan Yojana, Goa 2025",Government of Goa,75% reimbursement towards coaching fees,Class 10 to 12 ST students,https://www.buddy4study.com/scholarship/eklavya-prashikshan-yojana-goa-2025
"NSP Post-Matric Scholarship For OBC Students, Uttarakhand 2025",Government of Goa,Up to ₹750 per month,OBC students in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-obc-students-uttarakhand-2025
"NSP Post-Matric Scholarship For SC Students, Uttarakhand 2025",Government of Uttarakhand,"A maintenance allowance up to ₹1,200 per month",SC students in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-sc-students-uttarakhand-2025
"NSP Post-Matric Scholarship For ST Students, Uttarakhand 2025",Government of Uttarakhand,"A maintenance allowance of up to ₹1,200 per month",ST students studying in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-st-students-uttarakhand-2025
"NSP Pre-Matric Disability Scholarship (State Sector), Uttarakhand 2025-26",Government of Uttarakhand,An annual scholarship of up to ₹960,Disabled students in Class 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-disability-scholarship-state-sector-uttarakhand-2025
"NSP Pre-Matric Scholarship For SC Students (State Sector), Uttarakhand 2025-26",Government of Uttarakhand,"Up to ₹6,250 per annum",SC students of Class 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-sc-students-state-sector-uttarakhand-2025
"NSP Pre-Matric Scholarship For ST Students (State Sector), Uttarakhand 2025-26",Government of Uttarakhand,"An annual scholarship of up to ₹6,250",ST students in Class 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-st-students-state-sector-uttarakhand-2025
"NSP Pre-Matric Scholarship For SC Students (Center Sector), Uttarakhand 2025",Government of Uttarakhand,"Up to ₹6,250 per annum",SC students in Class 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-sc-students-center-sector-uttarakhand-2025
"Vidyadhan Class 11 and 12 Scholarship Program, Maharashtra 2025",Government of Uttarakhand,"An annual scholarship of ₹10,000",Class 11 and 12 students,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-maharashtra-2025
"Umbrella Scheme Pre-Matric ST Scholarship Class 9 and 10, Tripura 2025-26",Sarojini Damodaran Foundation,A monthly scholarship of up to ₹ 525 for 10 months and other grants,ST students studying in Class 9 and 10,https://www.buddy4study.com/scholarship/umbrella-scheme-pre-matric-st-scholarship-class-9-and-10-tripura-2025
"Umbrella Scheme Post-Matric Scholarships for ST Students, Tripura 2025-26",Government of Tripura,"Monthly maintenance allowance of up to ₹1,200 and other benefits",ST students studying in Class 11 and above,https://www.buddy4study.com/scholarship/umbrella-scheme-post-matric-scholarships-for-st-students-tripura-2025
"NSP Post-Matric Scholarship for EBC Students, Uttarakhand 2025-26",Government of Tripura,"A monthly maintenance allowance up to ₹1,200 and other benefits",Economically Backward Class (EBC) students from Uttarakhand pursuing post-matriculation or post-secondary education,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-ebc-students-uttarakhand-2025
"NSP Pre-Matric Scholarship for ST Students (Center Sector), Uttarakhand 2025-26",Government of Uttarakhand,"A maintenance allowance up to ₹6,250 per annum",Scheduled Tribe (ST) students of the state studying in Classes 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-st-students-center-sector-uttarakhand-2025
